idx,Date,symbol,5adjustedclose,pred_01,truth,X,X,X
5252,7/13/2017,PBH,51.18,0.31%,-1.15%,0.156480445,-0.59,-0.59
7819,1/6/2021,PTNR,5.19,0.32%,-11.37%,0.01643886,-0.59,-0.59
7303,12/18/2018,PTNR,4.99,0.28%,-12.02%,0.013747593,-0.6,-0.6
1445,9/4/2018,CDTX,4.6,0.28%,-13.04%,0.013014087,-0.6,-0.6
1258,12/5/2017,CDTX,7.9,0.32%,-7.59%,0.025056899,-0.6,-0.6
7816,12/31/2020,PTNR,5.35,0.34%,-11.31%,0.018167995,-0.605,-0.605
1507,11/30/2018,CDTX,3.64,0.28%,-16.76%,0.010298104,-0.61,-0.61
9079,11/14/2018,VRNT,22.1651,0.24%,-2.76%,0.052705314,-0.6114,-0.6114
8079,1/18/2022,PTNR,8.65,0.29%,-7.28%,0.0249261,-0.63,-0.63
4583,1/22/2020,ODFL,133.9,0.11%,-0.50%,0.153499064,-0.668,-0.668
286,4/29/2019,BTAI,11.5,0.26%,-6.00%,0.029562878,-0.69,-0.69
2911,4/3/2019,CSR,53.1161,0.31%,-1.30%,0.166615985,-0.6903,-0.6903
1158,7/14/2017,CDTX,7.7,0.27%,-9.09%,0.021033642,-0.7,-0.7
1284,1/12/2018,CDTX,7.55,0.25%,-9.27%,0.019086898,-0.7,-0.7
6015,7/24/2020,PBH,37.55,0.23%,-1.89%,0.087903994,-0.71,-0.71
7602,2/27/2020,PTNR,4.8,0.29%,-14.79%,0.013804721,-0.71,-0.71
6366,12/14/2021,PBH,57.32,0.22%,-1.27%,0.125565909,-0.73,-0.73
5291,9/7/2017,PBH,48.69,0.35%,-1.50%,0.172724878,-0.73,-0.73
343,7/19/2019,BTAI,10.54,0.28%,-6.93%,0.02947966,-0.73,-0.73
7810,12/22/2020,PTNR,5.23,0.32%,-14.24%,0.016476958,-0.745,-0.745
7405,5/16/2019,PTNR,4.95,0.23%,-15.15%,0.011209452,-0.75,-0.75
7855,3/1/2021,PTNR,5.24,0.20%,-14.31%,0.010593944,-0.75,-0.75
9235,7/2/2019,VRNT,27.8604,0.33%,-2.78%,0.093163701,-0.7743,-0.7743
8491,9/2/2021,SLN,22.6,0.26%,-3.45%,0.059743841,-0.78,-0.78
6042,9/1/2020,PBH,36.55,0.36%,-2.19%,0.133320767,-0.8,-0.8
8612,2/25/2022,SLN,18.3,0.30%,-4.37%,0.054142838,-0.8,-0.8
1600,4/17/2019,CDTX,2.42,0.18%,-33.47%,0.004347148,-0.81,-0.81
1092,7/11/2022,BTAI,15.1,0.34%,-5.36%,0.050627525,-0.81,-0.81
1982,10/21/2020,CDTX,2.98,0.21%,-28.19%,0.006118824,-0.84,-0.84
1283,1/11/2018,CDTX,7.6,0.26%,-11.18%,0.019664501,-0.85,-0.85
3404,3/18/2021,CSR,67.806,0.26%,-1.26%,0.177454533,-0.8571,-0.8571
2531,9/27/2017,CSR,49.1028,0.29%,-1.75%,0.143288835,-0.8595,-0.8595
7601,2/26/2020,PTNR,4.8598,0.30%,-17.69%,0.014338245,-0.8598,-0.8598
8545,11/18/2021,SLN,24.75,0.25%,-3.47%,0.061901557,-0.86,-0.86
6063,10/1/2020,PBH,36.11,0.39%,-2.41%,0.139462933,-0.87,-0.87
3512,8/20/2021,CSR,95.5078,0.26%,-0.91%,0.244700095,-0.8706,-0.8706
2571,11/22/2017,CSR,48.8167,0.27%,-1.82%,0.13209428,-0.8909,-0.8909
8874,1/24/2018,VRNT,21.7524,0.29%,-4.10%,0.063308268,-0.8915,-0.8915
1917,7/21/2020,CDTX,3.94,0.21%,-22.84%,0.008193065,-0.9,-0.9
1965,9/28/2020,CDTX,2.89,0.29%,-31.14%,0.008278544,-0.9,-0.9
2922,4/18/2019,CSR,51.8229,0.31%,-1.77%,0.158590926,-0.9175,-0.9175
7094,2/20/2018,PTNR,5.13,0.26%,-18.13%,0.013161141,-0.93,-0.93
3230,7/9/2020,CSR,64.332,0.26%,-1.46%,0.165019107,-0.9411,-0.9411
361,8/14/2019,BTAI,8.47,0.27%,-11.45%,0.022951276,-0.97,-0.97
9246,7/18/2019,VRNT,28.2985,0.33%,-3.53%,0.093141898,-0.9984,-0.9984
5530,8/20/2018,PBH,38.9,0.24%,-2.57%,0.094547563,-1,-1
5915,3/3/2020,PBH,38.47,0.38%,-2.63%,0.146478476,-1.01,-1.01
5762,7/24/2019,PBH,33.32,0.27%,-3.06%,0.089895641,-1.02,-1.02
3267,8/31/2020,CSR,65.5959,0.31%,-1.57%,0.203814464,-1.0286,-1.0286
6069,10/9/2020,PBH,37.16,0.43%,-2.77%,0.161003764,-1.03,-1.03
1937,8/18/2020,CDTX,3.88,0.28%,-26.55%,0.010819709,-1.03,-1.03
6173,3/11/2021,PBH,45.86,0.22%,-2.29%,0.101164835,-1.05,-1.05
339,7/15/2019,BTAI,10.34,0.27%,-10.15%,0.028197854,-1.05,-1.05
8696,6/28/2022,SLN,11.09,0.34%,-9.47%,0.037465868,-1.05,-1.05
7342,2/14/2019,PTNR,4.79,0.36%,-21.92%,0.017153215,-1.05,-1.05
7077,1/25/2018,PTNR,6.02,0.27%,-17.61%,0.016123265,-1.06,-1.06
2480,7/17/2017,CSR,51.4668,0.30%,-2.07%,0.155626437,-1.0637,-1.0637
9887,2/1/2022,VRNT,51.62,0.22%,-2.09%,0.111118683,-1.08,-1.08
8865,1/10/2018,VRNT,21.4213,0.29%,-5.11%,0.062344633,-1.0953,-1.0953
8589,1/24/2022,SLN,18.2,0.29%,-6.04%,0.051871208,-1.1,-1.1
7058,12/27/2017,PTNR,6.24,0.22%,-17.74%,0.01396188,-1.107,-1.107
9870,1/6/2022,VRNT,52.06,0.12%,-2.13%,0.062666892,-1.11,-1.11
9247,7/19/2019,VRNT,28.2629,0.38%,-3.95%,0.106194893,-1.1157,-1.1157
118,8/24/2018,BTAI,7.9732,0.35%,-14.09%,0.027669695,-1.1232,-1.1232
1486,10/31/2018,CDTX,3.93,0.24%,-29.26%,0.00929376,-1.15,-1.15
9243,7/15/2019,VRNT,28.2883,0.33%,-4.09%,0.094594576,-1.1564,-1.1564
9045,9/27/2018,VRNT,25.3184,0.30%,-4.57%,0.07564867,-1.1564,-1.1564
8089,2/1/2022,PTNR,9.07,0.28%,-12.79%,0.025389841,-1.16,-1.16
7584,1/31/2020,PTNR,4.4,0.23%,-26.37%,0.010079975,-1.1601,-1.1601
44,5/10/2018,BTAI,9.93,0.36%,-11.78%,0.035947077,-1.17,-1.17
2909,4/1/2019,CSR,53.3083,0.28%,-2.21%,0.147057572,-1.1796,-1.1796
1497,11/15/2018,CDTX,3.88,0.31%,-30.41%,0.012025269,-1.18,-1.18
3111,1/17/2020,CSR,66.359,0.21%,-1.79%,0.13683835,-1.1897,-1.1897
6062,9/30/2020,PBH,36.42,0.22%,-3.27%,0.080919752,-1.19,-1.19
4164,5/22/2018,ODFL,97.322,0.18%,-1.23%,0.176801724,-1.199,-1.199
8740,7/13/2017,VRNT,20.7336,0.31%,-5.90%,0.064488311,-1.2226,-1.2226
148,10/8/2018,BTAI,6.85,0.29%,-18.03%,0.019805523,-1.235,-1.235
6037,8/25/2020,PBH,37.54,0.33%,-3.33%,0.12377417,-1.25,-1.25
8138,4/12/2022,PTNR,8,0.18%,-15.63%,0.014323331,-1.25,-1.25
9703,5/11/2021,VRNT,46.28,0.34%,-2.70%,0.159129254,-1.25,-1.25
4529,11/1/2019,ODFL,124.091,0.22%,-1.03%,0.276621349,-1.277,-1.277
6018,7/29/2020,PBH,37.79,0.28%,-3.47%,0.107311432,-1.31,-1.31
6337,11/2/2021,PBH,60.33,0.19%,-2.22%,0.113978103,-1.34,-1.34
5553,9/21/2018,PBH,39.07,0.22%,-3.43%,0.085477307,-1.34,-1.34
2708,6/12/2018,CSR,47.8535,0.31%,-2.85%,0.150299651,-1.3654,-1.3654
7068,1/11/2018,PTNR,6.56,0.18%,-21.06%,0.011923181,-1.3817,-1.3817
100,7/31/2018,BTAI,10.05,0.35%,-13.83%,0.034874447,-1.39,-1.39
7587,2/5/2020,PTNR,4.9,0.24%,-28.37%,0.011669529,-1.39,-1.39
8610,2/23/2022,SLN,19.4,0.30%,-7.27%,0.057397325,-1.41,-1.41
6328,10/20/2021,PBH,59.04,0.26%,-2.46%,0.155344466,-1.45,-1.45
9685,4/15/2021,VRNT,47.48,0.09%,-3.16%,0.043846816,-1.5,-1.5
1396,6/25/2018,CDTX,5.2,0.30%,-28.85%,0.015746097,-1.5,-1.5
4477,8/20/2019,ODFL,108.21,0.22%,-1.40%,0.239659006,-1.514,-1.514
9211,5/29/2019,VRNT,29.2715,0.29%,-5.19%,0.084411231,-1.5181,-1.5181
9461,5/26/2020,VRNT,23.8105,0.53%,-6.40%,0.127030684,-1.5232,-1.5232
1797,1/29/2020,CDTX,3.67,0.34%,-42.23%,0.012449247,-1.55,-1.55
4351,2/20/2019,ODFL,100.245,0.14%,-1.56%,0.142569231,-1.5684,-1.5684
613,8/13/2020,BTAI,44.71,0.26%,-3.51%,0.11526855,-1.57,-1.57
6329,10/21/2021,PBH,59.33,0.24%,-2.66%,0.141719376,-1.58,-1.58
8574,12/31/2021,SLN,23.89,0.24%,-6.70%,0.056357413,-1.6,-1.6
396,10/3/2019,BTAI,5.97,0.21%,-26.97%,0.012715807,-1.61,-1.61
9690,4/22/2021,VRNT,47.8,0.10%,-3.41%,0.046504498,-1.63,-1.63
8864,1/9/2018,VRNT,21.6505,0.29%,-7.53%,0.063011697,-1.6301,-1.6301
3392,3/2/2021,CSR,65.6497,0.34%,-2.53%,0.226479123,-1.6588,-1.6588
9374,1/21/2020,VRNT,29.6434,0.38%,-5.60%,0.111905554,-1.6607,-1.6607
119,8/27/2018,BTAI,8.45,0.35%,-20.00%,0.029938139,-1.69,-1.69
5265,8/1/2017,PBH,52.67,0.26%,-3.27%,0.138679162,-1.72,-1.72
8255,9/25/2020,SLN,17.5,0.24%,-9.94%,0.041943113,-1.74,-1.74
2910,4/2/2019,CSR,53.5442,0.28%,-3.26%,0.151495978,-1.7475,-1.7475
7596,2/19/2020,PTNR,5.06,0.24%,-34.78%,0.012050575,-1.76,-1.76
4542,11/20/2019,ODFL,126.063,0.22%,-1.41%,0.281017295,-1.777,-1.777
1122,8/22/2022,BTAI,14.29,0.28%,-12.81%,0.040346185,-1.83,-1.83
8450,7/7/2021,SLN,26.5,0.34%,-6.92%,0.08994767,-1.835,-1.835
6341,11/8/2021,PBH,62.88,0.21%,-2.93%,0.134089745,-1.84,-1.84
3318,11/11/2020,CSR,68.6138,0.25%,-2.69%,0.169976075,-1.8461,-1.8461
9688,4/20/2021,VRNT,47.86,0.09%,-3.89%,0.041867935,-1.86,-1.86
9886,1/31/2022,VRNT,51.33,0.26%,-3.64%,0.131226495,-1.87,-1.87
1012,3/15/2022,BTAI,15.06,0.21%,-12.55%,0.032287413,-1.89,-1.89
1493,11/9/2018,CDTX,4.04,0.30%,-46.78%,0.01222483,-1.89,-1.89
5406,2/22/2018,PBH,35,0.33%,-5.43%,0.116480812,-1.9,-1.9
136,9/20/2018,BTAI,7.51,0.33%,-25.43%,0.02496909,-1.91,-1.91
4265,10/15/2018,ODFL,89.1343,0.21%,-2.16%,0.190676941,-1.9263,-1.9263
8347,2/8/2021,SLN,25.45,0.32%,-7.58%,0.082656299,-1.93,-1.93
8870,1/18/2018,VRNT,21.7779,0.29%,-8.89%,0.063382483,-1.9358,-1.9358
1102,7/25/2022,BTAI,15.27,0.24%,-13.10%,0.037138854,-2,-2
8701,7/6/2022,SLN,10.6,0.25%,-18.87%,0.0265837,-2,-2
8693,6/23/2022,SLN,11.99,0.29%,-16.68%,0.035023875,-2,-2
9465,6/1/2020,VRNT,23.5762,0.34%,-8.54%,0.079254336,-2.0123,-2.0123
365,8/20/2019,BTAI,8.49,0.33%,-23.91%,0.028206403,-2.03,-2.03
9692,4/26/2021,VRNT,48.7,0.09%,-4.17%,0.044973461,-2.03,-2.03
91,7/18/2018,BTAI,11.01,0.33%,-18.62%,0.036593973,-2.05,-2.05
2774,9/14/2018,CSR,48.0207,0.24%,-4.31%,0.115442618,-2.0691,-2.0691
6502,6/30/2022,PBH,58.8,0.12%,-3.52%,0.070302556,-2.07,-2.07
1041,4/26/2022,BTAI,13.84,0.31%,-15.32%,0.043349598,-2.12,-2.12
2573,11/27/2017,CSR,48.7348,0.28%,-4.38%,0.135629991,-2.1357,-2.1357
